customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_segment
480,325,1,149.72,2,1,2,Lost / Hibernating
481,166,2,1394.25,3,2,4,New / Promising
482,19,3,287.01,4,4,2,Regular
483,434,1,64.35,1,1,1,Lost / Hibernating
484,187,1,108.8,2,1,1,Lost / Hibernating
485,454,2,308.76,1,2,2,Lost / Hibernating
486,529,3,211.03,1,4,2,Regular
487,406,1,56.12,1,1,1,Lost / Hibernating
488,167,1,442.53,3,1,3,New / Promising
489,159,2,561.86,3,2,3,New / Promising
492,78,4,1971.76,3,4,4,Champions
494,256,2,703.48,2,2,4,Lost / Hibernating
495,85,2,180.69,3,2,2,New / Promising
496,118,4,1867.33,3,4,4,Champions
497,69,3,551.09,3,4,3,Champions
499,232,3,563.98,2,4,3,At Risk (Valuable)
501,161,2,865.22,3,2,4,New / Promising
502,67,2,573.26,3,2,3,New / Promising
503,110,4,1896.64,3,4,4,Champions
504,684,1,42.41,1,1,1,Lost / Hibernating
506,222,1,118.05,2,1,1,Lost / Hibernating
511,246,1,240.08,2,1,2,Lost / Hibernating
512,528,2,372.76,1,2,3,Lost / Hibernating
513,47,3,1204.46,4,4,4,Champions
515,52,1,338.02,4,1,3,New / Promising
516,303,3,1263.8,2,4,4,At Risk (Valuable)
517,52,2,158.52,4,2,2,New / Promising
518,430,1,250.84,1,1,2,Lost / Hibernating
519,75,1,146.37,3,1,1,New / Promising
520,19,1,111.09,4,1,1,New / Promising
521,15,4,781.88,4,4,4,Champions
522,101,3,1025.9,3,4,4,Champions
526,131,1,543.82,3,1,3,New / Promising
527,514,1,56.71,1,1,1,Lost / Hibernating
529,477,1,115.31,1,1,1,Lost / Hibernating
530,731,1,49.04,1,1,1,Lost / Hibernating
531,171,1,99.1,3,1,1,New / Promising
533,384,1,40.46,1,1,1,Lost / Hibernating
534,85,1,112.38,3,1,1,New / Promising
535,117,3,1329.86,3,4,4,Champions
537,378,1,61.02,1,1,1,Lost / Hibernating
538,50,3,826.2,4,4,4,Champions
540,68,4,1107.51,3,4,4,Champions
541,212,1,49.54,2,1,1,Lost / Hibernating
543,16,2,155.23,4,2,2,New / Promising
544,436,1,348.3,1,1,3,Lost / Hibernating
549,59,2,294.24,3,2,2,New / Promising
550,365,1,230.58,2,1,2,Lost / Hibernating
551,205,1,196.52,2,1,2,Lost / Hibernating
552,133,2,574.28,3,2,3,New / Promising
553,327,2,293.39,2,2,2,Lost / Hibernating
554,252,1,30.9,2,1,1,Lost / Hibernating
556,74,1,167.54,3,1,2,New / Promising
557,184,2,709.73,2,2,4,Lost / Hibernating
559,5,3,375.51,4,4,3,Champions
560,292,1,1415.54,2,1,4,Lost / Hibernating
561,156,1,81.68,3,1,1,New / Promising
562,466,1,250.52,1,1,2,Lost / Hibernating
563,13,2,69.15,4,2,1,New / Promising
565,93,3,397.81,3,4,3,Champions
566,109,1,142.14,3,1,1,New / Promising
567,30,1,721.42,4,1,4,New / Promising
569,309,1,37.23,2,1,1,Lost / Hibernating
570,83,1,95.39,3,1,1,New / Promising
572,13,2,503.58,4,2,3,New / Promising
574,166,1,227.08,3,1,2,New / Promising
575,37,2,571.86,4,2,3,New / Promising
576,600,1,114.04,1,1,1,Lost / Hibernating
577,416,1,205.48,1,1,2,Lost / Hibernating
580,611,1,17.65,1,1,1,Lost / Hibernating
581,542,3,667.92,1,4,3,At Risk (Valuable)
582,12,6,656.61,4,4,3,Champions
583,138,1,439.3,3,1,3,New / Promising
584,89,2,498.1,3,2,3,New / Promising
586,388,2,143.82,1,2,1,Lost / Hibernating
587,50,1,168.48,4,1,2,New / Promising
588,547,2,190.0,1,2,2,Lost / Hibernating
589,295,2,143.24,2,2,1,Lost / Hibernating
590,576,1,234.7,1,1,2,Lost / Hibernating
592,295,1,183.88,2,1,2,Lost / Hibernating
593,620,2,615.11,1,2,3,Lost / Hibernating
595,421,1,64.4,1,1,1,Lost / Hibernating
597,630,2,239.56,1,2,2,Lost / Hibernating
599,340,1,332.76,2,1,2,Lost / Hibernating
601,4,15,4361.56,4,4,4,Champions
603,450,1,80.69,1,1,1,Lost / Hibernating
604,77,1,353.85,3,1,3,New / Promising
605,10,4,620.51,4,4,3,Champions
606,293,3,673.38,2,4,3,At Risk (Valuable)
608,704,1,66.04,1,1,1,Lost / Hibernating
609,329,1,129.78,2,1,1,Lost / Hibernating
610,181,1,116.18,2,1,1,Lost / Hibernating
611,53,3,698.17,4,4,4,Champions
612,15,1,337.95,4,1,3,New / Promising
614,95,2,854.45,3,2,4,New / Promising
615,113,2,440.6,3,2,3,New / Promising
618,48,1,74.16,4,1,1,New / Promising
619,109,1,21.46,3,1,1,New / Promising
620,111,1,72.06,3,1,1,New / Promising
621,212,3,744.66,2,4,4,At Risk (Valuable)
622,13,2,410.79,4,2,3,New / Promising
623,320,2,76.04,2,2,1,Lost / Hibernating
625,44,3,1786.73,4,4,4,Champions
626,296,1,374.91,2,1,3,Lost / Hibernating
628,196,2,606.07,2,2,3,Lost / Hibernating
630,274,1,72.32,2,1,1,Lost / Hibernating
632,662,1,11.7,1,1,1,Lost / Hibernating
633,150,2,279.27,3,2,2,New / Promising
635,280,2,1151.81,2,2,4,Lost / Hibernating
637,131,1,10.62,3,1,1,New / Promising
638,393,2,1212.48,1,2,4,Lost / Hibernating
639,611,1,301.27,1,1,2,Lost / Hibernating
641,28,2,825.38,4,2,4,New / Promising
642,461,1,576.71,1,1,3,Lost / Hibernating
643,203,2,515.31,2,2,3,Lost / Hibernating
644,21,4,1050.36,4,4,4,Champions
646,46,1,432.17,4,1,3,New / Promising
648,318,2,327.35,2,2,2,Lost / Hibernating
649,43,1,141.12,4,1,1,New / Promising
653,377,1,202.08,1,1,2,Lost / Hibernating
654,16,2,240.52,4,2,2,New / Promising
655,56,1,201.2,4,1,2,New / Promising
656,7,4,472.96,4,4,3,Champions
657,103,2,100.6,3,2,1,New / Promising
658,6,4,487.75,4,4,3,Champions
659,143,1,69.19,3,1,1,New / Promising
660,47,2,293.62,4,2,2,New / Promising
661,110,2,1091.92,3,2,4,New / Promising
662,23,1,217.91,4,1,2,New / Promising
665,215,2,386.02,2,2,3,Lost / Hibernating
667,419,1,310.06,1,1,2,Lost / Hibernating
668,267,1,471.05,2,1,3,Lost / Hibernating
669,298,2,707.69,2,2,4,Lost / Hibernating
670,430,1,46.95,1,1,1,Lost / Hibernating
673,62,1,318.75,3,1,2,New / Promising
674,6,4,1190.32,4,4,4,Champions
675,390,3,313.24,1,4,2,Regular
677,629,2,228.11,1,2,2,Lost / Hibernating
680,24,1,92.88,4,1,1,New / Promising
681,320,1,150.84,2,1,2,Lost / Hibernating
682,54,6,1171.52,4,4,4,Champions
683,249,1,58.08,2,1,1,Lost / Hibernating
684,225,1,98.9,2,1,1,Lost / Hibernating
685,109,1,330.25,3,1,2,New / Promising
686,49,4,1345.38,4,4,4,Champions
687,365,1,21.06,2,1,1,Lost / Hibernating
688,658,1,832.92,1,1,4,Lost / Hibernating
689,560,1,21.07,1,1,1,Lost / Hibernating
691,176,2,116.85,2,2,1,Lost / Hibernating
692,461,1,83.4,1,1,1,Lost / Hibernating
693,216,2,290.77,2,2,2,Lost / Hibernating
694,47,5,728.98,4,4,4,Champions
695,188,3,836.81,2,4,4,At Risk (Valuable)
696,397,2,1341.95,1,2,4,Lost / Hibernating
697,310,1,102.37,2,1,1,Lost / Hibernating
698,450,1,515.92,1,1,3,Lost / Hibernating
699,694,1,55.48,1,1,1,Lost / Hibernating
701,76,4,575.47,3,4,3,Champions
702,142,1,299.24,3,1,2,New / Promising
703,57,1,61.76,3,1,1,New / Promising
704,220,1,153.16,2,1,2,Lost / Hibernating
705,508,1,597.69,1,1,3,Lost / Hibernating
708,50,6,2342.98,4,4,4,Champions
709,263,1,67.49,2,1,1,Lost / Hibernating
711,289,2,383.87,2,2,3,Lost / Hibernating
716,163,2,411.3,3,2,3,New / Promising
717,211,2,102.24,2,2,1,Lost / Hibernating
719,72,4,656.9,3,4,3,Champions
720,132,4,894.89,3,4,4,Champions
722,35,2,245.95,4,2,2,New / Promising
723,167,1,55.14,3,1,1,New / Promising
724,365,1,80.02,2,1,1,Lost / Hibernating
726,586,1,9.77,1,1,1,Lost / Hibernating
727,72,2,435.37,3,2,3,New / Promising
729,142,2,48.28,3,2,1,New / Promising
731,79,2,271.45,3,2,2,New / Promising
733,238,1,227.46,2,1,2,Lost / Hibernating
734,499,1,22.07,1,1,1,Lost / Hibernating
735,415,2,1583.12,1,2,4,Lost / Hibernating
736,32,4,521.18,4,4,3,Champions
737,543,1,673.59,1,1,3,Lost / Hibernating
738,26,1,88.4,4,1,1,New / Promising
740,21,3,698.33,4,4,4,Champions
742,315,1,541.0,2,1,3,Lost / Hibernating
744,110,1,173.74,3,1,2,New / Promising
745,43,4,863.49,4,4,4,Champions
746,378,3,308.95,1,4,2,Regular
748,53,3,514.56,4,4,3,Champions
749,167,1,71.44,3,1,1,New / Promising
751,285,2,491.67,2,2,3,Lost / Hibernating
752,110,2,419.2,3,2,3,New / Promising
753,487,1,126.31,1,1,1,Lost / Hibernating
754,8,2,1054.05,4,2,4,New / Promising
755,27,4,1476.79,4,4,4,Champions
756,588,1,60.04,1,1,1,Lost / Hibernating
759,213,2,256.44,2,2,2,Lost / Hibernating
760,10,5,1444.9,4,4,4,Champions
762,124,5,1379.34,3,4,4,Champions
763,28,1,90.96,4,1,1,New / Promising
764,117,2,360.56,3,2,3,New / Promising
765,88,3,3164.71,3,4,4,Champions
766,242,1,159.01,2,1,2,Lost / Hibernating
767,136,3,247.25,3,4,2,Regular
769,16,1,180.84,4,1,2,New / Promising
770,140,2,1648.74,3,2,4,New / Promising
771,370,1,22.35,2,1,1,Lost / Hibernating
772,16,2,1167.8,4,2,4,New / Promising
774,615,1,672.2,1,1,3,Lost / Hibernating
775,182,1,71.97,2,1,1,Lost / Hibernating
776,379,3,1859.72,1,4,4,At Risk (Valuable)
777,1,1,44.04,4,1,1,New / Promising
778,7,3,614.88,4,4,3,Champions
779,450,1,1267.68,1,1,4,Lost / Hibernating
780,41,1,11.57,4,1,1,New / Promising
781,536,1,248.34,1,1,2,Lost / Hibernating
782,145,1,152.5,3,1,2,New / Promising
783,431,1,228.08,1,1,2,Lost / Hibernating
784,20,1,182.84,4,1,2,New / Promising
786,173,2,389.68,3,2,3,New / Promising
787,411,3,484.61,1,4,3,At Risk (Valuable)
788,264,2,121.35,2,2,1,Lost / Hibernating
789,183,3,400.79,2,4,3,At Risk (Valuable)
793,131,3,1139.38,3,4,4,Champions
795,270,1,63.18,2,1,1,Lost / Hibernating
796,200,2,674.27,2,2,3,Lost / Hibernating
797,408,1,58.33,1,1,1,Lost / Hibernating
799,427,1,548.07,1,1,3,Lost / Hibernating
800,271,2,285.61,2,2,2,Lost / Hibernating
802,615,1,166.21,1,1,2,Lost / Hibernating
803,284,1,770.31,2,1,4,Lost / Hibernating
804,407,1,11.78,1,1,1,Lost / Hibernating
806,154,2,897.58,3,2,4,New / Promising
807,640,1,192.07,1,1,2,Lost / Hibernating
808,181,3,685.71,2,4,4,At Risk (Valuable)
809,376,2,422.31,1,2,3,Lost / Hibernating
811,435,2,163.1,1,2,2,Lost / Hibernating
