product_id,product_name,category,subcategory,price,cost,margin,margin_pct
33,Cable Bed Lite,Accessories,Cables,65.88,31.23,34.65,52.6
34,Charger Conference Lite,Accessories,Chargers,25.74,15.85,9.89,38.4
35,Camera Stop Lite,Electronics,Cameras,139.81,71.39,68.42,48.9
36,Game Official,Gaming,Games,22.23,12.74,9.49,42.7
37,Laptop Fall Lite,Electronics,Laptops,80.48,36.36,44.12,54.8
38,Console Argue,Gaming,Consoles,11.43,6.56,4.87,42.6
39,Camera Personal Max,Electronics,Cameras,20.18,12.86,7.32,36.3
40,Console Mr Max,Gaming,Consoles,79.61,37.62,41.99,52.7
41,Air Conditioner Audience Pro,Home Appliances,Air Conditioners,129.62,72.45,57.17,44.1
42,Vacuum Cleaner We Lite,Home Appliances,Vacuum Cleaners,77.81,51.09,26.72,34.3
43,Tablet Price Lite,Electronics,Tablets,60.09,37.58,22.51,37.5
44,Smartphone Produce,Electronics,Smartphones,50.86,23.62,27.24,53.6
45,Laptop Face Max,Electronics,Laptops,17.63,11.66,5.97,33.9
46,Kitchen Federal Pro,Home Appliances,Kitchen,34.89,21.8,13.09,37.5
47,Kitchen Fall Plus,Home Appliances,Kitchen,44.05,31.53,12.52,28.4
48,Case Fish Max,Accessories,Cases,172.67,107.96,64.71,37.5
49,Headphone Thing Plus,Electronics,Headphones,90.85,58.5,32.35,35.6
50,Vacuum Cleaner Marriage Pro,Home Appliances,Vacuum Cleaners,13.64,9.51,4.13,30.3
51,Charger Citizen Plus,Accessories,Chargers,89.27,47.22,42.05,47.1
52,Headphone Case Lite,Electronics,Headphones,47.15,28.79,18.36,38.9
53,Vacuum Cleaner Usually Plus,Home Appliances,Vacuum Cleaners,36.26,24.26,12.0,33.1
54,Charger Respond Lite,Accessories,Chargers,115.64,79.62,36.02,31.1
55,Kitchen Speak Plus,Home Appliances,Kitchen,168.66,91.17,77.49,45.9
56,Camera Two Plus,Electronics,Cameras,154.18,72.16,82.02,53.2
57,Tablet Compare,Electronics,Tablets,31.33,20.61,10.72,34.2
58,Smartphone Population,Electronics,Smartphones,50.49,35.9,14.59,28.9
59,Console How Pro,Gaming,Consoles,89.85,64.73,25.12,28.0
60,Charger Significant Plus,Accessories,Chargers,160.45,89.39,71.06,44.3
61,Case Establish Lite,Accessories,Cases,43.33,32.45,10.88,25.1
62,Vacuum Cleaner Opportunity Lite,Home Appliances,Vacuum Cleaners,56.42,42.15,14.27,25.3
63,Air Conditioner Together,Home Appliances,Air Conditioners,24.64,18.16,6.48,26.3
64,Kitchen Myself,Home Appliances,Kitchen,22.72,16.39,6.33,27.9
65,Smartphone Ok Plus,Electronics,Smartphones,138.56,75.56,63.0,45.5
66,Vacuum Cleaner Cut Pro,Home Appliances,Vacuum Cleaners,226.02,158.91,67.11,29.7
67,Vacuum Cleaner Quality Max,Home Appliances,Vacuum Cleaners,62.5,33.84,28.66,45.9
68,Game Total Plus,Gaming,Games,164.54,75.7,88.84,54.0
69,Charger Tend Max,Accessories,Chargers,92.34,68.72,23.62,25.6
70,Headphone Who Max,Electronics,Headphones,37.31,27.11,10.2,27.3
71,Case Add Pro,Accessories,Cases,92.32,60.11,32.21,34.9
72,Camera Bank Max,Electronics,Cameras,266.2,123.34,142.86,53.7
73,Charger Process,Accessories,Chargers,64.57,33.19,31.38,48.6
74,Vacuum Cleaner Democrat Plus,Home Appliances,Vacuum Cleaners,272.65,147.26,125.39,46.0
75,Controller Order Pro,Gaming,Controllers,6.31,3.59,2.72,43.1
76,Cable Day,Accessories,Cables,139.73,93.29,46.44,33.2
77,Cable Fund Max,Accessories,Cables,72.12,45.14,26.98,37.4
78,Camera State Lite,Electronics,Cameras,50.95,38.18,12.77,25.1
79,Game Recent Pro,Gaming,Games,72.43,54.08,18.35,25.3
80,Game Their Plus,Gaming,Games,11.15,6.35,4.8,43.0
81,Air Conditioner Ability Max,Home Appliances,Air Conditioners,54.72,32.93,21.79,39.8
82,Kitchen Dog,Home Appliances,Kitchen,91.96,47.26,44.7,48.6
83,Controller Chair Max,Gaming,Controllers,252.17,144.76,107.41,42.6
84,Charger Wife,Accessories,Chargers,41.83,29.55,12.28,29.4
85,Controller Listen,Gaming,Controllers,32.21,18.52,13.69,42.5
86,Game Star Plus,Gaming,Games,42.45,20.96,21.49,50.6
87,Headphone Guy Max,Electronics,Headphones,152.0,93.94,58.06,38.2
88,Vacuum Cleaner Decade Pro,Home Appliances,Vacuum Cleaners,89.65,55.62,34.03,38.0
89,Air Conditioner Suffer Lite,Home Appliances,Air Conditioners,41.4,21.59,19.81,47.9
90,Air Conditioner When,Home Appliances,Air Conditioners,105.84,75.69,30.15,28.5
91,Cable Small Max,Accessories,Cables,72.77,44.68,28.09,38.6
92,Charger Former,Accessories,Chargers,159.46,93.9,65.56,41.1
93,Camera Ask,Electronics,Cameras,35.45,17.44,18.01,50.8
94,Cable More Plus,Accessories,Cables,49.66,35.06,14.6,29.4
95,Charger Choose,Accessories,Chargers,46.86,26.89,19.97,42.6
96,Laptop Ahead,Electronics,Laptops,17.86,11.35,6.51,36.5
97,Controller Conference Lite,Gaming,Controllers,87.05,64.54,22.51,25.9
98,Vacuum Cleaner Attorney Max,Home Appliances,Vacuum Cleaners,84.35,54.12,30.23,35.8
99,Cable Visit Plus,Accessories,Cables,66.99,39.72,27.27,40.7
100,Laptop Store Pro,Electronics,Laptops,53.99,34.26,19.73,36.5
101,Tablet Firm,Electronics,Tablets,18.66,11.53,7.13,38.2
102,Kitchen Already,Home Appliances,Kitchen,45.67,32.13,13.54,29.6
103,Headphone Population Lite,Electronics,Headphones,48.99,27.63,21.36,43.6
104,Console Safe Pro,Gaming,Consoles,32.39,22.45,9.94,30.7
105,Cable Story Max,Accessories,Cables,57.68,43.19,14.49,25.1
106,Tablet Rest Lite,Electronics,Tablets,95.93,47.54,48.39,50.4
107,Headphone Know Pro,Electronics,Headphones,364.15,216.48,147.67,40.6
108,Kitchen Rather Max,Home Appliances,Kitchen,78.03,54.69,23.34,29.9
109,Kitchen Heart Max,Home Appliances,Kitchen,84.08,52.3,31.78,37.8
110,Kitchen News Lite,Home Appliances,Kitchen,62.36,35.33,27.03,43.3
111,Cable Face,Accessories,Cables,11.86,6.58,5.28,44.5
112,Controller Service Plus,Gaming,Controllers,65.11,35.09,30.02,46.1
113,Cable Gun,Accessories,Cables,70.4,34.62,35.78,50.8
114,Case Lay Pro,Accessories,Cases,612.11,446.49,165.62,27.1
115,Headphone Fear Max,Electronics,Headphones,56.09,33.24,22.85,40.7
116,Game Store Plus,Gaming,Games,87.48,40.95,46.53,53.2
117,Charger Quality,Accessories,Chargers,64.64,35.4,29.24,45.2
118,Controller Good Lite,Gaming,Controllers,23.29,11.63,11.66,50.1
119,Headphone Television Pro,Electronics,Headphones,186.52,108.27,78.25,42.0
120,Controller Have Plus,Gaming,Controllers,131.2,67.95,63.25,48.2
121,Cable Begin Max,Accessories,Cables,135.9,70.53,65.37,48.1
122,Kitchen A,Home Appliances,Kitchen,29.42,19.31,10.11,34.4
123,Smartphone Take Max,Electronics,Smartphones,235.69,163.65,72.04,30.6
124,Kitchen Represent,Home Appliances,Kitchen,18.88,13.38,5.5,29.1
125,Vacuum Cleaner Edge Plus,Home Appliances,Vacuum Cleaners,113.09,61.78,51.31,45.4
126,Controller Sing,Gaming,Controllers,478.86,344.77,134.09,28.0
127,Game Number Pro,Gaming,Games,27.34,18.08,9.26,33.9
128,Console Arrive Lite,Gaming,Consoles,40.06,26.71,13.35,33.3
129,Air Conditioner Ten Lite,Home Appliances,Air Conditioners,72.94,41.83,31.11,42.7
130,Controller Which,Gaming,Controllers,42.39,20.96,21.43,50.6
131,Tablet Machine,Electronics,Tablets,16.52,9.11,7.41,44.9
132,Camera Region Max,Electronics,Cameras,70.93,39.46,31.47,44.4
133,Console Customer Lite,Gaming,Consoles,25.63,17.25,8.38,32.7
134,Camera Try Pro,Electronics,Cameras,102.13,65.75,36.38,35.6
135,Kitchen Less Max,Home Appliances,Kitchen,29.15,20.63,8.52,29.2
136,Game Accept Pro,Gaming,Games,269.06,180.48,88.58,32.9
137,Vacuum Cleaner Company Lite,Home Appliances,Vacuum Cleaners,32.95,16.45,16.5,50.1
138,Controller Feeling Lite,Gaming,Controllers,49.91,31.01,18.9,37.9
139,Tablet Matter Pro,Electronics,Tablets,138.68,89.79,48.89,35.3
140,Charger Control,Accessories,Chargers,22.03,12.55,9.48,43.0
141,Controller Money,Gaming,Controllers,81.84,49.44,32.4,39.6
142,Controller Out Plus,Gaming,Controllers,216.25,139.76,76.49,35.4
143,Game Especially Lite,Gaming,Games,15.69,11.47,4.22,26.9
144,Case Night Max,Accessories,Cases,78.74,44.13,34.61,44.0
145,Kitchen Heavy Pro,Home Appliances,Kitchen,84.26,39.68,44.58,52.9
146,Camera Shoulder,Electronics,Cameras,134.78,92.41,42.37,31.4
147,Charger Plan Pro,Accessories,Chargers,21.91,10.23,11.68,53.3
148,Tablet Gun,Electronics,Tablets,20.32,11.72,8.6,42.3
149,Game Key Plus,Gaming,Games,106.67,49.01,57.66,54.1
150,Vacuum Cleaner Low Lite,Home Appliances,Vacuum Cleaners,87.12,62.36,24.76,28.4
151,Game Identify Plus,Gaming,Games,83.55,41.15,42.4,50.7
152,Game Letter Pro,Gaming,Games,91.09,66.36,24.73,27.1
153,Air Conditioner Its Max,Home Appliances,Air Conditioners,36.16,23.2,12.96,35.8
154,Vacuum Cleaner Music Plus,Home Appliances,Vacuum Cleaners,82.19,51.61,30.58,37.2
155,Air Conditioner Listen,Home Appliances,Air Conditioners,86.81,65.05,21.76,25.1
156,Charger Cup Lite,Accessories,Chargers,35.06,20.81,14.25,40.6
157,Cable Country,Accessories,Cables,357.52,264.94,92.58,25.9
158,Kitchen Choose Max,Home Appliances,Kitchen,102.15,70.32,31.83,31.2
159,Air Conditioner Somebody Max,Home Appliances,Air Conditioners,22.82,15.95,6.87,30.1
160,Vacuum Cleaner Entire Max,Home Appliances,Vacuum Cleaners,120.41,84.94,35.47,29.5
