order_id,customer_id,order_date,status,payment_method
316,73,2025-10-11,completed,paypal
317,102,2025-05-15,completed,debit_card
318,58,2026-01-19,completed,debit_card
319,45,2026-04-04,completed,credit_card
320,15,2026-06-17,completed,bank_transfer
321,101,2026-02-23,completed,bank_transfer
322,41,2026-01-23,completed,paypal
323,83,2025-12-25,cancelled,debit_card
324,71,2026-04-29,completed,bank_transfer
325,81,2026-02-02,completed,debit_card
326,58,2025-06-03,completed,paypal
327,97,2025-11-29,completed,debit_card
328,47,2025-08-24,completed,bank_transfer
329,68,2025-09-01,completed,credit_card
330,45,2025-02-20,completed,paypal
331,79,2025-03-17,completed,paypal
332,15,2025-10-20,completed,debit_card
333,74,2025-04-01,completed,debit_card
334,72,2025-03-02,completed,bank_transfer
335,80,2025-01-04,returned,debit_card
336,105,2026-04-03,completed,bank_transfer
337,54,2025-03-25,completed,credit_card
338,102,2026-11-02,completed,paypal
339,22,2025-01-20,completed,credit_card
340,74,2026-01-31,completed,credit_card
341,98,2026-02-11,completed,debit_card
342,39,2025-08-27,completed,credit_card
343,57,2025-04-16,completed,paypal
344,91,2025-08-20,completed,debit_card
345,105,2025-05-10,completed,debit_card
346,42,2025-10-22,completed,credit_card
347,18,2026-08-08,cancelled,debit_card
348,90,2026-08-08,completed,debit_card
349,98,2026-04-22,completed,paypal
350,81,2026-02-24,completed,credit_card
351,52,2025-03-13,completed,bank_transfer
352,63,2025-03-24,cancelled,credit_card
353,94,2024-11-15,completed,credit_card
354,102,2025-11-01,returned,bank_transfer
355,35,2026-01-20,completed,bank_transfer
356,101,2025-10-08,completed,bank_transfer
357,3,2025-06-03,completed,bank_transfer
358,26,2026-07-09,cancelled,paypal
359,12,2025-06-15,completed,debit_card
360,7,2026-10-05,completed,bank_transfer
361,84,2025-05-08,completed,debit_card
362,76,2026-04-05,completed,paypal
363,105,2026-04-29,completed,debit_card
364,50,2024-12-04,completed,paypal
365,18,2025-03-26,completed,credit_card
366,68,2024-09-14,completed,debit_card
367,81,2025-03-24,completed,debit_card
368,12,2026-02-18,completed,bank_transfer
369,45,2024-10-13,completed,credit_card
370,32,2025-05-09,completed,credit_card
371,85,2026-07-31,completed,bank_transfer
372,38,2025-07-22,completed,bank_transfer
373,82,2026-01-04,cancelled,paypal
374,41,2025-02-28,completed,debit_card
375,98,2026-03-16,completed,paypal
376,28,2025-08-20,cancelled,paypal
377,81,2025-01-26,completed,debit_card
378,36,2025-01-16,completed,debit_card
379,69,2026-05-18,completed,credit_card
380,40,2025-10-05,returned,debit_card
381,12,2025-03-11,completed,paypal
382,86,2026-08-07,completed,debit_card
383,90,2025-10-23,returned,paypal
384,22,2026-02-04,completed,credit_card
385,99,2025-11-03,completed,credit_card
386,34,2024-11-27,completed,paypal
387,8,2024-11-05,completed,credit_card
388,74,2025-12-04,completed,credit_card
389,2,2026-11-03,completed,debit_card
390,5,2025-11-11,completed,paypal
391,32,2025-02-14,completed,paypal
392,16,2025-02-17,completed,credit_card
393,52,2024-09-21,cancelled,paypal
394,42,2026-01-15,completed,paypal
395,95,2026-07-17,completed,debit_card
396,94,2025-09-29,completed,credit_card
397,30,2025-02-04,completed,paypal
398,1,2025-12-21,completed,credit_card
399,27,2025-02-09,completed,debit_card
400,92,2024-09-22,cancelled,bank_transfer
401,90,2024-10-29,returned,credit_card
402,65,2025-06-30,completed,bank_transfer
403,85,2025-04-26,completed,bank_transfer
404,90,2026-02-21,completed,credit_card
405,26,2025-08-14,completed,bank_transfer
406,60,2024-10-30,completed,debit_card
407,58,2026-01-24,completed,paypal
408,91,2026-04-03,completed,debit_card
409,12,2024-11-27,completed,paypal
410,34,2024-08-17,completed,bank_transfer
411,72,2025-10-14,completed,debit_card
412,16,2026-08-04,completed,paypal
413,88,2024-12-13,completed,credit_card
414,3,2025-06-25,cancelled,debit_card
415,12,2026-02-01,completed,credit_card
416,22,2026-09-08,completed,credit_card
417,49,2026-06-28,completed,paypal
418,36,2026-06-26,completed,debit_card
419,83,2025-08-17,cancelled,credit_card
420,36,2025-08-18,completed,debit_card
421,81,2025-12-31,completed,paypal
422,62,2025-01-14,completed,paypal
423,50,2026-03-23,completed,paypal
424,8,2025-03-24,completed,debit_card
425,21,2025-04-19,completed,credit_card
426,98,2025-03-22,completed,bank_transfer
427,46,2025-12-27,completed,paypal
428,76,2024-09-27,completed,debit_card
429,73,2026-07-19,completed,credit_card
430,12,2026-04-02,completed,credit_card
431,43,2024-10-21,completed,debit_card
432,103,2026-01-01,completed,debit_card
433,100,2025-11-01,cancelled,paypal
434,91,2025-09-02,completed,paypal
435,18,2025-10-02,cancelled,bank_transfer
436,84,2026-03-09,returned,paypal
437,29,2026-02-25,completed,paypal
438,17,2026-06-04,cancelled,bank_transfer
439,99,2026-08-10,completed,debit_card
440,82,2024-10-09,completed,debit_card
441,45,2026-07-23,completed,paypal
442,58,2026-07-29,completed,paypal
443,101,2024-12-26,completed,bank_transfer
444,22,2025-03-07,cancelled,bank_transfer
445,13,2026-06-29,completed,debit_card
446,58,2026-05-25,completed,credit_card
447,10,2024-12-27,completed,credit_card
448,44,2026-08-08,cancelled,bank_transfer
449,84,2026-07-28,completed,debit_card
450,25,2024-09-10,completed,paypal
451,85,2026-05-24,completed,bank_transfer
452,20,2025-06-17,completed,bank_transfer
453,26,2026-04-17,completed,credit_card
454,61,2025-01-09,completed,paypal
455,12,2025-04-01,completed,paypal
456,24,2026-10-08,completed,paypal
457,73,2026-03-17,completed,paypal
458,104,2026-06-21,completed,bank_transfer
459,105,2026-08-02,completed,debit_card
460,61,2025-03-25,cancelled,debit_card
461,16,2026-06-24,completed,debit_card
462,104,2024-09-11,completed,bank_transfer
463,26,2024-08-20,completed,paypal
464,94,2025-04-01,completed,paypal
465,36,2025-10-28,completed,bank_transfer
466,15,2025-11-24,completed,credit_card
467,14,2024-11-04,completed,paypal
468,53,2026-08-04,completed,credit_card
469,23,2025-04-30,completed,bank_transfer
470,5,2025-03-22,completed,bank_transfer
471,35,2025-07-31,completed,paypal
472,36,2025-12-24,completed,debit_card
473,18,2025-10-08,completed,paypal
474,94,2025-09-24,completed,bank_transfer
475,95,2025-08-31,cancelled,debit_card
476,9,2026-07-04,completed,credit_card
477,23,2026-08-12,completed,bank_transfer
478,7,2024-11-25,completed,bank_transfer
479,65,2026-06-05,completed,bank_transfer
480,77,2025-08-09,completed,debit_card
481,34,2025-08-11,completed,credit_card
482,21,2025-03-12,completed,debit_card
483,35,2025-01-09,completed,credit_card
484,61,2026-05-03,completed,debit_card
485,33,2024-08-11,completed,paypal
486,55,2025-04-26,completed,paypal
487,87,2024-12-17,completed,paypal
488,72,2026-03-03,completed,bank_transfer
489,9,2025-04-08,completed,paypal
490,84,2025-12-29,completed,debit_card
491,8,2025-02-28,completed,debit_card
492,93,2026-02-22,returned,bank_transfer
493,52,2025-01-04,completed,debit_card
494,44,2024-08-23,completed,bank_transfer
495,86,2026-08-03,completed,debit_card
496,38,2025-05-01,completed,debit_card
497,88,2026-04-19,completed,paypal
498,54,2025-03-30,completed,bank_transfer
499,16,2025-10-28,completed,credit_card
500,61,2026-01-18,completed,paypal
