date,channel,spend
2024-02-10,social_media,198.59
2024-02-10,email,15.03
2024-02-10,referral,13.36
2024-02-11,paid_search,225.73
2024-02-11,social_media,112.22
2024-02-11,email,22.08
2024-02-11,referral,11.4
2024-02-12,paid_search,198.21
2024-02-12,social_media,183.15
2024-02-12,email,29.37
2024-02-12,referral,10.67
2024-02-13,paid_search,215.29
2024-02-13,social_media,165.27
2024-02-13,email,23.62
2024-02-13,referral,11.93
2024-02-14,paid_search,217.39
2024-02-14,social_media,202.22
2024-02-14,email,16.3
2024-02-14,referral,21.48
2024-02-15,paid_search,271.79
2024-02-15,social_media,109.14
2024-02-15,email,34.04
2024-02-15,referral,20.68
2024-02-16,paid_search,192.35
2024-02-16,social_media,189.26
2024-02-16,email,25.57
2024-02-16,referral,9.83
2024-02-17,paid_search,276.48
2024-02-17,social_media,95.36
2024-02-17,email,26.81
2024-02-17,referral,20.88
2024-02-18,paid_search,127.12
2024-02-18,social_media,166.81
2024-02-18,email,32.12
2024-02-18,referral,16.51
2024-02-19,paid_search,265.84
2024-02-19,social_media,149.07
2024-02-19,email,19.12
2024-02-19,referral,14.25
2024-02-20,paid_search,234.59
2024-02-20,social_media,206.99
2024-02-20,email,27.78
2024-02-20,referral,18.67
2024-02-21,paid_search,226.37
2024-02-21,social_media,132.86
2024-02-21,email,16.53
2024-02-21,referral,17.84
2024-02-22,paid_search,275.32
2024-02-22,social_media,268.71
2024-02-22,email,40.15
2024-02-22,referral,18.65
2024-02-23,paid_search,240.16
2024-02-23,social_media,161.08
2024-02-23,email,19.54
2024-02-23,referral,15.25
2024-02-24,paid_search,214.23
2024-02-24,social_media,265.73
2024-02-24,email,28.66
2024-02-24,referral,14.14
2024-02-25,paid_search,171.51
2024-02-25,social_media,204.04
2024-02-25,email,25.86
2024-02-25,referral,13.31
2024-02-26,paid_search,182.24
2024-02-26,social_media,204.71
2024-02-26,email,22.46
2024-02-26,referral,13.79
2024-02-27,paid_search,193.35
2024-02-27,social_media,307.55
2024-02-27,email,25.99
2024-02-27,referral,11.91
2024-02-28,paid_search,78.49
2024-02-28,social_media,106.17
2024-02-28,email,23.17
2024-02-28,referral,21.36
2024-02-29,paid_search,345.78
2024-02-29,social_media,169.28
2024-02-29,email,27.28
2024-02-29,referral,14.38
2024-03-01,paid_search,245.04
2024-03-01,social_media,169.18
2024-03-01,email,21.52
2024-03-01,referral,12.54
2024-03-02,paid_search,259.05
2024-03-02,social_media,238.62
2024-03-02,email,22.19
2024-03-02,referral,17.73
2024-03-03,paid_search,228.62
2024-03-03,social_media,162.79
2024-03-03,email,29.24
2024-03-03,referral,20.05
2024-03-04,paid_search,174.67
2024-03-04,social_media,165.48
2024-03-04,email,34.17
2024-03-04,referral,14.84
2024-03-05,paid_search,176.29
2024-03-05,social_media,187.64
2024-03-05,email,25.05
2024-03-05,referral,18.96
2024-03-06,paid_search,217.6
2024-03-06,social_media,179.54
2024-03-06,email,24.68
2024-03-06,referral,15.63
2024-03-07,paid_search,303.41
2024-03-07,social_media,212.62
2024-03-07,email,18.48
2024-03-07,referral,16.06
2024-03-08,paid_search,239.02
2024-03-08,social_media,196.95
2024-03-08,email,15.75
2024-03-08,referral,15.55
2024-03-09,paid_search,188.77
2024-03-09,social_media,112.62
2024-03-09,email,32.56
2024-03-09,referral,13.94
2024-03-10,paid_search,205.3
2024-03-10,social_media,219.69
2024-03-10,email,31.4
2024-03-10,referral,14.07
2024-03-11,paid_search,221.61
2024-03-11,social_media,134.54
2024-03-11,email,19.11
2024-03-11,referral,19.87
2024-03-12,paid_search,222.5
2024-03-12,social_media,223.65
2024-03-12,email,23.97
2024-03-12,referral,16.58
2024-03-13,paid_search,124.09
2024-03-13,social_media,218.73
2024-03-13,email,24.82
2024-03-13,referral,13.24
2024-03-14,paid_search,254.57
2024-03-14,social_media,224.72
2024-03-14,email,22.46
2024-03-14,referral,10.51
2024-03-15,paid_search,311.61
2024-03-15,social_media,170.3
2024-03-15,email,13.01
2024-03-15,referral,13.42
2024-03-16,paid_search,244.73
2024-03-16,social_media,176.32
2024-03-16,email,24.19
2024-03-16,referral,13.68
2024-03-17,paid_search,196.85
2024-03-17,social_media,122.49
2024-03-17,email,16.89
2024-03-17,referral,16.36
2024-03-18,paid_search,287.67
2024-03-18,social_media,167.59
2024-03-18,email,33.66
2024-03-18,referral,19.12
2024-03-19,paid_search,212.75
2024-03-19,social_media,208.71
2024-03-19,email,28.06
2024-03-19,referral,13.11
2024-03-20,paid_search,101.32
2024-03-20,social_media,186.24
2024-03-20,email,29.38
2024-03-20,referral,12.92
2024-03-21,paid_search,330.39
2024-03-21,social_media,226.46
2024-03-21,email,15.8
2024-03-21,referral,14.27
2024-03-22,paid_search,173.81
2024-03-22,social_media,163.47
2024-03-22,email,29.09
2024-03-22,referral,14.06
2024-03-23,paid_search,188.63
2024-03-23,social_media,184.23
2024-03-23,email,29.75
2024-03-23,referral,17.81
2024-03-24,paid_search,253.84
2024-03-24,social_media,241.66
2024-03-24,email,24.43
2024-03-24,referral,13.65
2024-03-25,paid_search,211.45
2024-03-25,social_media,143.58
2024-03-25,email,19.8
2024-03-25,referral,17.77
2024-03-26,paid_search,265.68
2024-03-26,social_media,60.94
2024-03-26,email,30.88
2024-03-26,referral,13.46
2024-03-27,paid_search,185.22
2024-03-27,social_media,165.29
2024-03-27,email,17.11
2024-03-27,referral,14.37
2024-03-28,paid_search,325.32
2024-03-28,social_media,110.35
2024-03-28,email,28.86
2024-03-28,referral,18.65
2024-03-29,paid_search,252.01
2024-03-29,social_media,249.02
2024-03-29,email,31.14
2024-03-29,referral,17.52
2024-03-30,paid_search,277.09
2024-03-30,social_media,224.63
2024-03-30,email,22.82
2024-03-30,referral,17.37
2024-03-31,paid_search,204.99
2024-03-31,social_media,119.97
2024-03-31,email,36.48
2024-03-31,referral,12.92
2024-04-01,paid_search,280.25
2024-04-01,social_media,204.06
2024-04-01,email,19.4
2024-04-01,referral,12.09
2024-04-02,paid_search,241.85
2024-04-02,social_media,197.98
2024-04-02,email,22.65
2024-04-02,referral,9.07
2024-04-03,paid_search,264.18
2024-04-03,social_media,48.37
2024-04-03,email,27.18
2024-04-03,referral,19.25
2024-04-04,paid_search,118.29
2024-04-04,social_media,187.2
2024-04-04,email,22.6
2024-04-04,referral,15.73
2024-04-05,paid_search,273.78
2024-04-05,social_media,119.41
2024-04-05,email,23.6
2024-04-05,referral,14.38
2024-04-06,paid_search,112.82
2024-04-06,social_media,205.81
2024-04-06,email,35.18
2024-04-06,referral,17.51
2024-04-07,paid_search,227.14
2024-04-07,social_media,219.87
2024-04-07,email,21.28
2024-04-07,referral,11.69
2024-04-08,paid_search,248.25
2024-04-08,social_media,190.3
2024-04-08,email,26.96
2024-04-08,referral,11.78
2024-04-09,paid_search,137.23
2024-04-09,social_media,133.24
2024-04-09,email,19.67
2024-04-09,referral,7.35
2024-04-10,paid_search,246.13
2024-04-10,social_media,121.98
2024-04-10,email,16.6
2024-04-10,referral,14.02
2024-04-11,paid_search,170.17
2024-04-11,social_media,109.0
2024-04-11,email,15.83
2024-04-11,referral,17.01
2024-04-12,paid_search,201.5
2024-04-12,social_media,111.89
2024-04-12,email,34.1
2024-04-12,referral,12.33
2024-04-13,paid_search,249.14
2024-04-13,social_media,175.14
2024-04-13,email,25.61
2024-04-13,referral,15.08
2024-04-14,paid_search,144.17
2024-04-14,social_media,280.98
2024-04-14,email,20.25
2024-04-14,referral,18.1
2024-04-15,paid_search,176.51
2024-04-15,social_media,130.25
2024-04-15,email,33.56
2024-04-15,referral,20.84
2024-04-16,paid_search,244.95
2024-04-16,social_media,216.32
2024-04-16,email,17.16
2024-04-16,referral,17.47
2024-04-17,paid_search,255.7
2024-04-17,social_media,199.73
2024-04-17,email,35.29
2024-04-17,referral,6.45
2024-04-18,paid_search,210.14
2024-04-18,social_media,246.7
2024-04-18,email,18.05
2024-04-18,referral,17.44
2024-04-19,paid_search,193.28
2024-04-19,social_media,183.98
2024-04-19,email,18.39
2024-04-19,referral,23.49
2024-04-20,paid_search,156.91
2024-04-20,social_media,174.14
2024-04-20,email,23.38
2024-04-20,referral,19.03
2024-04-21,paid_search,223.83
2024-04-21,social_media,109.05
2024-04-21,email,20.98
2024-04-21,referral,6.89
2024-04-22,paid_search,224.0
2024-04-22,social_media,260.15
2024-04-22,email,23.75
2024-04-22,referral,16.28
2024-04-23,paid_search,280.62
2024-04-23,social_media,148.92
2024-04-23,email,31.87
2024-04-23,referral,22.17
2024-04-24,paid_search,122.4
2024-04-24,social_media,231.16
2024-04-24,email,15.73
2024-04-24,referral,12.09
2024-04-25,paid_search,282.23
2024-04-25,social_media,194.5
2024-04-25,email,22.13
2024-04-25,referral,23.38
2024-04-26,paid_search,201.86
2024-04-26,social_media,229.34
2024-04-26,email,23.09
2024-04-26,referral,16.72
2024-04-27,paid_search,247.06
2024-04-27,social_media,183.62
2024-04-27,email,16.13
2024-04-27,referral,16.04
2024-04-28,paid_search,188.13
2024-04-28,social_media,159.4
2024-04-28,email,28.71
2024-04-28,referral,16.97
2024-04-29,paid_search,178.43
2024-04-29,social_media,189.79
2024-04-29,email,25.13
2024-04-29,referral,11.77
2024-04-30,paid_search,175.99
2024-04-30,social_media,144.71
2024-04-30,email,24.93
2024-04-30,referral,13.86
2024-05-01,paid_search,231.51
2024-05-01,social_media,140.42
2024-05-01,email,23.92
2024-05-01,referral,14.63
2024-05-02,paid_search,237.95
2024-05-02,social_media,246.14
2024-05-02,email,31.71
2024-05-02,referral,14.72
2024-05-03,paid_search,132.29
2024-05-03,social_media,156.92
2024-05-03,email,30.76
2024-05-03,referral,14.79
2024-05-04,paid_search,150.83
2024-05-04,social_media,170.75
2024-05-04,email,22.06
2024-05-04,referral,19.73
2024-05-05,paid_search,187.97
2024-05-05,social_media,198.64
2024-05-05,email,29.3
2024-05-05,referral,10.36
2024-05-06,paid_search,179.04
2024-05-06,social_media,160.79
2024-05-06,email,25.86
2024-05-06,referral,12.77
2024-05-07,paid_search,144.34
2024-05-07,social_media,134.68
2024-05-07,email,30.88
2024-05-07,referral,22.77
2024-05-08,paid_search,236.8
2024-05-08,social_media,228.54
2024-05-08,email,27.21
2024-05-08,referral,17.62
2024-05-09,paid_search,260.74
2024-05-09,social_media,210.5
2024-05-09,email,27.22
2024-05-09,referral,15.53
2024-05-10,paid_search,197.68
2024-05-10,social_media,203.65
2024-05-10,email,26.94
2024-05-10,referral,11.6
2024-05-11,paid_search,285.37
2024-05-11,social_media,224.62
2024-05-11,email,26.21
2024-05-11,referral,19.42
2024-05-12,paid_search,260.01
2024-05-12,social_media,160.19
2024-05-12,email,13.66
2024-05-12,referral,8.07
2024-05-13,paid_search,289.43
2024-05-13,social_media,178.73
2024-05-13,email,22.69
2024-05-13,referral,12.53
2024-05-14,paid_search,223.5
2024-05-14,social_media,221.16
2024-05-14,email,19.92
2024-05-14,referral,15.35
2024-05-15,paid_search,366.19
2024-05-15,social_media,261.67
2024-05-15,email,11.05
2024-05-15,referral,8.19
2024-05-16,paid_search,319.33
2024-05-16,social_media,220.32
2024-05-16,email,25.32
2024-05-16,referral,16.98
2024-05-17,paid_search,202.6
2024-05-17,social_media,150.04
2024-05-17,email,29.56
2024-05-17,referral,14.64
2024-05-18,paid_search,267.55
2024-05-18,social_media,155.31
2024-05-18,email,29.46
2024-05-18,referral,16.17
2024-05-19,paid_search,146.6
2024-05-19,social_media,246.34
2024-05-19,email,16.2
2024-05-19,referral,19.99
2024-05-20,paid_search,245.02
2024-05-20,social_media,208.83
2024-05-20,email,21.92
2024-05-20,referral,13.62
2024-05-21,paid_search,220.21
2024-05-21,social_media,122.0
2024-05-21,email,28.6
2024-05-21,referral,13.66
2024-05-22,paid_search,103.41
2024-05-22,social_media,264.93
2024-05-22,email,26.66
2024-05-22,referral,16.22
2024-05-23,paid_search,181.99
2024-05-23,social_media,194.96
2024-05-23,email,29.6
2024-05-23,referral,9.55
2024-05-24,paid_search,253.2
2024-05-24,social_media,132.33
2024-05-24,email,16.96
2024-05-24,referral,11.7
2024-05-25,paid_search,335.53
2024-05-25,social_media,215.25
2024-05-25,email,24.89
2024-05-25,referral,21.38
2024-05-26,paid_search,169.26
2024-05-26,social_media,133.8
2024-05-26,email,19.27
2024-05-26,referral,22.04
2024-05-27,paid_search,267.77
2024-05-27,social_media,143.29
2024-05-27,email,20.68
2024-05-27,referral,16.06
2024-05-28,paid_search,157.65
2024-05-28,social_media,171.99
2024-05-28,email,18.79
2024-05-28,referral,14.74
2024-05-29,paid_search,264.86
2024-05-29,social_media,258.43
2024-05-29,email,15.22
2024-05-29,referral,17.25
2024-05-30,paid_search,257.28
2024-05-30,social_media,169.57
2024-05-30,email,21.3
2024-05-30,referral,12.77
2024-05-31,paid_search,118.08
2024-05-31,social_media,215.05
2024-05-31,email,20.22
2024-05-31,referral,8.74
2024-06-01,paid_search,237.76
2024-06-01,social_media,194.11
2024-06-01,email,30.29
2024-06-01,referral,21.82
2024-06-02,paid_search,222.21
2024-06-02,social_media,166.53
2024-06-02,email,22.56
2024-06-02,referral,13.9
2024-06-03,paid_search,179.42
2024-06-03,social_media,160.47
2024-06-03,email,20.49
2024-06-03,referral,11.1
2024-06-04,paid_search,315.52
2024-06-04,social_media,242.35
2024-06-04,email,13.36
2024-06-04,referral,16.19
2024-06-05,paid_search,216.43
2024-06-05,social_media,186.52
2024-06-05,email,15.93
2024-06-05,referral,8.07
2024-06-06,paid_search,216.97
2024-06-06,social_media,163.36
2024-06-06,email,21.57
2024-06-06,referral,14.22
2024-06-07,paid_search,252.98
2024-06-07,social_media,219.66
2024-06-07,email,18.87
2024-06-07,referral,11.67
2024-06-08,paid_search,228.25
2024-06-08,social_media,235.03
2024-06-08,email,23.66
2024-06-08,referral,15.54
2024-06-09,paid_search,145.01
2024-06-09,social_media,81.2
2024-06-09,email,39.46
2024-06-09,referral,16.04
2024-06-10,paid_search,164.0
2024-06-10,social_media,83.59
2024-06-10,email,34.04
2024-06-10,referral,11.46
2024-06-11,paid_search,168.01
2024-06-11,social_media,147.75
2024-06-11,email,25.86
2024-06-11,referral,17.39
2024-06-12,paid_search,203.52
2024-06-12,social_media,132.82
2024-06-12,email,39.36
2024-06-12,referral,13.16
2024-06-13,paid_search,220.59
2024-06-13,social_media,112.46
2024-06-13,email,28.62
2024-06-13,referral,19.09
2024-06-14,paid_search,172.69
2024-06-14,social_media,97.18
2024-06-14,email,22.61
2024-06-14,referral,22.11
2024-06-15,paid_search,184.77
2024-06-15,social_media,293.97
2024-06-15,email,21.5
2024-06-15,referral,8.16
2024-06-16,paid_search,191.95
2024-06-16,social_media,95.81
2024-06-16,email,20.51
2024-06-16,referral,16.43
2024-06-17,paid_search,194.43
2024-06-17,social_media,229.55
2024-06-17,email,21.65
2024-06-17,referral,9.41
2024-06-18,paid_search,228.13
2024-06-18,social_media,173.32
2024-06-18,email,24.85
2024-06-18,referral,10.22
2024-06-19,paid_search,234.73
2024-06-19,social_media,242.5
2024-06-19,email,16.79
2024-06-19,referral,7.84
2024-06-20,paid_search,135.07
2024-06-20,social_media,178.71
2024-06-20,email,14.95
2024-06-20,referral,16.22
2024-06-21,paid_search,239.61
2024-06-21,social_media,196.53
2024-06-21,email,41.18
2024-06-21,referral,8.0
2024-06-22,paid_search,126.1
2024-06-22,social_media,237.54
2024-06-22,email,28.33
2024-06-22,referral,19.3
2024-06-23,paid_search,107.74
2024-06-23,social_media,118.81
2024-06-23,email,31.12
2024-06-23,referral,14.37
2024-06-24,paid_search,292.28
2024-06-24,social_media,161.24
2024-06-24,email,23.67
2024-06-24,referral,23.59
2024-06-25,paid_search,162.77
2024-06-25,social_media,213.33
2024-06-25,email,15.2
2024-06-25,referral,11.75
2024-06-26,paid_search,260.56
2024-06-26,social_media,116.34
2024-06-26,email,30.48
2024-06-26,referral,14.17
2024-06-27,paid_search,166.36
2024-06-27,social_media,175.18
2024-06-27,email,21.34
2024-06-27,referral,12.33
2024-06-28,paid_search,192.79
2024-06-28,social_media,117.33
2024-06-28,email,13.98
2024-06-28,referral,7.03
2024-06-29,paid_search,247.69
2024-06-29,social_media,199.45
2024-06-29,email,20.04
2024-06-29,referral,14.51
2024-06-30,paid_search,296.19
2024-06-30,social_media,151.82
2024-06-30,email,23.33
2024-06-30,referral,22.27
2024-07-01,paid_search,241.34
2024-07-01,social_media,220.74
2024-07-01,email,29.44
2024-07-01,referral,16.9
2024-07-02,paid_search,180.1
2024-07-02,social_media,136.2
2024-07-02,email,29.21
2024-07-02,referral,16.96
2024-07-03,paid_search,232.76
2024-07-03,social_media,193.13
2024-07-03,email,20.17
2024-07-03,referral,10.58
2024-07-04,paid_search,179.68
2024-07-04,social_media,168.72
2024-07-04,email,21.28
2024-07-04,referral,20.88
2024-07-05,paid_search,301.16
2024-07-05,social_media,218.36
2024-07-05,email,32.63
2024-07-05,referral,10.15
2024-07-06,paid_search,259.48
2024-07-06,social_media,178.4
2024-07-06,email,22.12
2024-07-06,referral,13.94
2024-07-07,paid_search,205.13
2024-07-07,social_media,162.94
2024-07-07,email,21.15
2024-07-07,referral,9.97
2024-07-08,paid_search,133.53
2024-07-08,social_media,198.08
2024-07-08,email,7.44
2024-07-08,referral,22.3
2024-07-09,paid_search,185.81
2024-07-09,social_media,99.01
2024-07-09,email,28.26
2024-07-09,referral,14.49
2024-07-10,paid_search,167.87
2024-07-10,social_media,154.16
2024-07-10,email,24.44
2024-07-10,referral,19.07
2024-07-11,paid_search,74.53
2024-07-11,social_media,194.33
2024-07-11,email,35.29
2024-07-11,referral,11.94
2024-07-12,paid_search,261.15
2024-07-12,social_media,210.21
2024-07-12,email,36.76
2024-07-12,referral,15.88
2024-07-13,paid_search,258.69
2024-07-13,social_media,227.94
2024-07-13,email,28.86
2024-07-13,referral,11.65
2024-07-14,paid_search,179.93
2024-07-14,social_media,192.03
2024-07-14,email,30.42
2024-07-14,referral,16.27
2024-07-15,paid_search,163.01
2024-07-15,social_media,168.96
2024-07-15,email,16.33
2024-07-15,referral,17.2
2024-07-16,paid_search,328.87
2024-07-16,social_media,203.71
2024-07-16,email,12.78
2024-07-16,referral,15.39
2024-07-17,paid_search,219.2
2024-07-17,social_media,156.13
2024-07-17,email,12.22
2024-07-17,referral,16.79
2024-07-18,paid_search,272.12
2024-07-18,social_media,140.22
2024-07-18,email,19.41
2024-07-18,referral,13.81
2024-07-19,paid_search,315.85
2024-07-19,social_media,167.25
2024-07-19,email,20.21
2024-07-19,referral,13.5
2024-07-20,paid_search,251.84
2024-07-20,social_media,88.96
2024-07-20,email,23.55
2024-07-20,referral,13.7
2024-07-21,paid_search,214.05
2024-07-21,social_media,148.7
2024-07-21,email,16.68
2024-07-21,referral,18.5
2024-07-22,paid_search,118.89
2024-07-22,social_media,250.41
2024-07-22,email,27.17
2024-07-22,referral,17.55
2024-07-23,paid_search,223.47
2024-07-23,social_media,233.02
2024-07-23,email,28.35
2024-07-23,referral,19.89
2024-07-24,paid_search,266.53
2024-07-24,social_media,230.3
2024-07-24,email,20.53
2024-07-24,referral,13.57
2024-07-25,paid_search,220.89
2024-07-25,social_media,180.16
2024-07-25,email,28.6
2024-07-25,referral,12.19
2024-07-26,paid_search,219.66
2024-07-26,social_media,208.22
2024-07-26,email,13.03
2024-07-26,referral,18.96
2024-07-27,paid_search,332.47
2024-07-27,social_media,138.81
2024-07-27,email,34.25
2024-07-27,referral,15.85
2024-07-28,paid_search,171.3
2024-07-28,social_media,217.25
2024-07-28,email,37.12
2024-07-28,referral,13.49
2024-07-29,paid_search,161.35
2024-07-29,social_media,79.44
2024-07-29,email,24.1
2024-07-29,referral,15.61
2024-07-30,paid_search,319.78
2024-07-30,social_media,263.72
2024-07-30,email,20.86
2024-07-30,referral,18.03
2024-07-31,paid_search,156.7
2024-07-31,social_media,183.28
2024-07-31,email,24.19
2024-07-31,referral,11.71
2024-08-01,paid_search,213.38
2024-08-01,social_media,217.94
2024-08-01,email,31.85
2024-08-01,referral,14.46
2024-08-02,paid_search,215.21
2024-08-02,social_media,97.23
2024-08-02,email,26.71
2024-08-02,referral,14.0
2024-08-03,paid_search,215.03
2024-08-03,social_media,158.34
2024-08-03,email,19.07
2024-08-03,referral,11.72
2024-08-04,paid_search,182.78
2024-08-04,social_media,120.3
2024-08-04,email,26.82
2024-08-04,referral,17.1
2024-08-05,paid_search,212.42
2024-08-05,social_media,187.95
2024-08-05,email,23.57
2024-08-05,referral,19.28
2024-08-06,paid_search,222.97
2024-08-06,social_media,192.49
2024-08-06,email,30.02
2024-08-06,referral,14.91
2024-08-07,paid_search,296.62
2024-08-07,social_media,150.09
2024-08-07,email,35.79
2024-08-07,referral,14.26
2024-08-08,paid_search,184.11
2024-08-08,social_media,109.4
2024-08-08,email,30.45
2024-08-08,referral,13.63
2024-08-09,paid_search,227.9
2024-08-09,social_media,191.76
2024-08-09,email,21.95
2024-08-09,referral,19.03
2024-08-10,paid_search,245.02
2024-08-10,social_media,141.67
2024-08-10,email,16.6
2024-08-10,referral,17.93
2024-08-11,paid_search,206.74
2024-08-11,social_media,211.41
2024-08-11,email,23.44
2024-08-11,referral,15.8
2024-08-12,paid_search,264.3
2024-08-12,social_media,112.45
2024-08-12,email,35.54
2024-08-12,referral,16.41
2024-08-13,paid_search,107.58
2024-08-13,social_media,240.67
2024-08-13,email,31.18
2024-08-13,referral,14.29
2024-08-14,paid_search,296.77
2024-08-14,social_media,151.25
2024-08-14,email,24.19
2024-08-14,referral,23.79
2024-08-15,paid_search,248.65
2024-08-15,social_media,228.78
2024-08-15,email,30.11
2024-08-15,referral,9.8
2024-08-16,paid_search,236.45
2024-08-16,social_media,189.32
2024-08-16,email,32.41
2024-08-16,referral,20.63
2024-08-17,paid_search,290.94
2024-08-17,social_media,158.71
2024-08-17,email,16.02
2024-08-17,referral,16.87
2024-08-18,paid_search,215.12
2024-08-18,social_media,132.67
2024-08-18,email,20.65
2024-08-18,referral,14.78
2024-08-19,paid_search,234.2
2024-08-19,social_media,154.98
2024-08-19,email,24.9
2024-08-19,referral,14.73
2024-08-20,paid_search,235.12
2024-08-20,social_media,136.09
2024-08-20,email,20.64
2024-08-20,referral,20.06
2024-08-21,paid_search,205.75
2024-08-21,social_media,201.44
2024-08-21,email,17.39
2024-08-21,referral,19.45
2024-08-22,paid_search,283.34
2024-08-22,social_media,193.45
2024-08-22,email,21.16
2024-08-22,referral,9.61
2024-08-23,paid_search,345.09
2024-08-23,social_media,161.75
2024-08-23,email,16.04
2024-08-23,referral,12.76
2024-08-24,paid_search,241.96
2024-08-24,social_media,123.87
2024-08-24,email,21.31
2024-08-24,referral,9.6
2024-08-25,paid_search,299.38
2024-08-25,social_media,176.27
2024-08-25,email,15.92
2024-08-25,referral,11.62
2024-08-26,paid_search,184.52
2024-08-26,social_media,181.04
2024-08-26,email,19.3
2024-08-26,referral,13.63
2024-08-27,paid_search,184.95
2024-08-27,social_media,115.35
2024-08-27,email,19.28
2024-08-27,referral,12.11
2024-08-28,paid_search,152.94
2024-08-28,social_media,115.04
2024-08-28,email,21.28
2024-08-28,referral,18.24
