product_id,product_name,category,subcategory,price,cost
47,Kitchen Fall Plus,Home Appliances,Kitchen,44.05,31.53
48,Case Fish Max,Accessories,Cases,172.67,107.96
49,Headphone Thing Plus,Electronics,Headphones,90.85,58.5
50,Vacuum Cleaner Marriage Pro,Home Appliances,Vacuum Cleaners,13.64,9.51
51,Charger Citizen Plus,Accessories,Chargers,89.27,47.22
52,Headphone Case Lite,Electronics,Headphones,47.15,28.79
53,Vacuum Cleaner Usually Plus,Home Appliances,Vacuum Cleaners,36.26,24.26
54,Charger Respond Lite,Accessories,Chargers,115.64,79.62
55,Kitchen Speak Plus,Home Appliances,Kitchen,168.66,91.17
56,Camera Two Plus,Electronics,Cameras,154.18,72.16
57,Tablet Compare,Electronics,Tablets,31.33,20.61
58,Smartphone Population,Electronics,Smartphones,50.49,35.9
59,Console How Pro,Gaming,Consoles,89.85,64.73
60,Charger Significant Plus,Accessories,Chargers,160.45,89.39
61,Case Establish Lite,Accessories,Cases,43.33,32.45
62,Vacuum Cleaner Opportunity Lite,Home Appliances,Vacuum Cleaners,56.42,42.15
63,Air Conditioner Together,Home Appliances,Air Conditioners,24.64,18.16
64,Kitchen Myself,Home Appliances,Kitchen,22.72,16.39
65,Smartphone Ok Plus,Electronics,Smartphones,138.56,75.56
66,Vacuum Cleaner Cut Pro,Home Appliances,Vacuum Cleaners,226.02,158.91
67,Vacuum Cleaner Quality Max,Home Appliances,Vacuum Cleaners,62.5,33.84
68,Game Total Plus,Gaming,Games,164.54,75.7
69,Charger Tend Max,Accessories,Chargers,92.34,68.72
70,Headphone Who Max,Electronics,Headphones,37.31,27.11
71,Case Add Pro,Accessories,Cases,92.32,60.11
72,Camera Bank Max,Electronics,Cameras,266.2,123.34
73,Charger Process,Accessories,Chargers,64.57,33.19
74,Vacuum Cleaner Democrat Plus,Home Appliances,Vacuum Cleaners,272.65,147.26
75,Controller Order Pro,Gaming,Controllers,6.31,3.59
76,Cable Day,Accessories,Cables,139.73,93.29
77,Cable Fund Max,Accessories,Cables,72.12,45.14
78,Camera State Lite,Electronics,Cameras,50.95,38.18
79,Game Recent Pro,Gaming,Games,72.43,54.08
80,Game Their Plus,Gaming,Games,11.15,6.35
81,Air Conditioner Ability Max,Home Appliances,Air Conditioners,54.72,32.93
82,Kitchen Dog,Home Appliances,Kitchen,91.96,47.26
83,Controller Chair Max,Gaming,Controllers,252.17,144.76
84,Charger Wife,Accessories,Chargers,41.83,29.55
85,Controller Listen,Gaming,Controllers,32.21,18.52
86,Game Star Plus,Gaming,Games,42.45,20.96
87,Headphone Guy Max,Electronics,Headphones,152.0,93.94
88,Vacuum Cleaner Decade Pro,Home Appliances,Vacuum Cleaners,89.65,55.62
89,Air Conditioner Suffer Lite,Home Appliances,Air Conditioners,41.4,21.59
90,Air Conditioner When,Home Appliances,Air Conditioners,105.84,75.69
91,Cable Small Max,Accessories,Cables,72.77,44.68
92,Charger Former,Accessories,Chargers,159.46,93.9
93,Camera Ask,Electronics,Cameras,35.45,17.44
94,Cable More Plus,Accessories,Cables,49.66,35.06
95,Charger Choose,Accessories,Chargers,46.86,26.89
96,Laptop Ahead,Electronics,Laptops,17.86,11.35
97,Controller Conference Lite,Gaming,Controllers,87.05,64.54
98,Vacuum Cleaner Attorney Max,Home Appliances,Vacuum Cleaners,84.35,54.12
99,Cable Visit Plus,Accessories,Cables,66.99,39.72
100,Laptop Store Pro,Electronics,Laptops,53.99,34.26
101,Tablet Firm,Electronics,Tablets,18.66,11.53
102,Kitchen Already,Home Appliances,Kitchen,45.67,32.13
103,Headphone Population Lite,Electronics,Headphones,48.99,27.63
104,Console Safe Pro,Gaming,Consoles,32.39,22.45
105,Cable Story Max,Accessories,Cables,57.68,43.19
106,Tablet Rest Lite,Electronics,Tablets,95.93,47.54
107,Headphone Know Pro,Electronics,Headphones,364.15,216.48
108,Kitchen Rather Max,Home Appliances,Kitchen,78.03,54.69
109,Kitchen Heart Max,Home Appliances,Kitchen,84.08,52.3
110,Kitchen News Lite,Home Appliances,Kitchen,62.36,35.33
111,Cable Face,Accessories,Cables,11.86,6.58
112,Controller Service Plus,Gaming,Controllers,65.11,35.09
113,Cable Gun,Accessories,Cables,70.4,34.62
114,Case Lay Pro,Accessories,Cases,612.11,446.49
115,Headphone Fear Max,Electronics,Headphones,56.09,33.24
116,Game Store Plus,Gaming,Games,87.48,40.95
117,Charger Quality,Accessories,Chargers,64.64,35.4
118,Controller Good Lite,Gaming,Controllers,23.29,11.63
119,Headphone Television Pro,Electronics,Headphones,186.52,108.27
120,Controller Have Plus,Gaming,Controllers,131.2,67.95
121,Cable Begin Max,Accessories,Cables,135.9,70.53
122,Kitchen A,Home Appliances,Kitchen,29.42,19.31
123,Smartphone Take Max,Electronics,Smartphones,235.69,163.65
124,Kitchen Represent,Home Appliances,Kitchen,18.88,13.38
125,Vacuum Cleaner Edge Plus,Home Appliances,Vacuum Cleaners,113.09,61.78
126,Controller Sing,Gaming,Controllers,478.86,344.77
127,Game Number Pro,Gaming,Games,27.34,18.08
128,Console Arrive Lite,Gaming,Consoles,40.06,26.71
129,Air Conditioner Ten Lite,Home Appliances,Air Conditioners,72.94,41.83
130,Controller Which,Gaming,Controllers,42.39,20.96
131,Tablet Machine,Electronics,Tablets,16.52,9.11
132,Camera Region Max,Electronics,Cameras,70.93,39.46
133,Console Customer Lite,Gaming,Consoles,25.63,17.25
134,Camera Try Pro,Electronics,Cameras,102.13,65.75
135,Kitchen Less Max,Home Appliances,Kitchen,29.15,20.63
136,Game Accept Pro,Gaming,Games,269.06,180.48
137,Vacuum Cleaner Company Lite,Home Appliances,Vacuum Cleaners,32.95,16.45
138,Controller Feeling Lite,Gaming,Controllers,49.91,31.01
139,Tablet Matter Pro,Electronics,Tablets,138.68,89.79
140,Charger Control,Accessories,Chargers,22.03,12.55
141,Controller Money,Gaming,Controllers,81.84,49.44
142,Controller Out Plus,Gaming,Controllers,216.25,139.76
143,Game Especially Lite,Gaming,Games,15.69,11.47
144,Case Night Max,Accessories,Cases,78.74,44.13
145,Kitchen Heavy Pro,Home Appliances,Kitchen,84.26,39.68
146,Camera Shoulder,Electronics,Cameras,134.78,92.41
147,Charger Plan Pro,Accessories,Chargers,21.91,10.23
148,Tablet Gun,Electronics,Tablets,20.32,11.72
149,Game Key Plus,Gaming,Games,106.67,49.01
150,Vacuum Cleaner Low Lite,Home Appliances,Vacuum Cleaners,87.12,62.36
151,Game Identify Plus,Gaming,Games,83.55,41.15
152,Game Letter Pro,Gaming,Games,91.09,66.36
153,Air Conditioner Its Max,Home Appliances,Air Conditioners,36.16,23.2
154,Vacuum Cleaner Music Plus,Home Appliances,Vacuum Cleaners,82.19,51.61
155,Air Conditioner Listen,Home Appliances,Air Conditioners,86.81,65.05
156,Charger Cup Lite,Accessories,Chargers,35.06,20.81
157,Cable Country,Accessories,Cables,357.52,264.94
158,Kitchen Choose Max,Home Appliances,Kitchen,102.15,70.32
159,Air Conditioner Somebody Max,Home Appliances,Air Conditioners,22.82,15.95
160,Vacuum Cleaner Entire Max,Home Appliances,Vacuum Cleaners,120.41,84.94
